id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,first_review,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
2404,4.624972813,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",""translation missing: en.hosting_amenity_49""}",2,1,Real Bed,flexible,FALSE,NYC,02-02-17,t,f,,15-05-14,f,02-02-17,40.72676395,-73.98996466,East Village Pied-à-Terre aka Ultimate Crash Pad!,East Village,1,100,10003,0,1
4967,5.010635294,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",""Hair dryer"",Iron}",2,1,Real Bed,strict,TRUE,LA,20-11-14,t,t,100%,15-02-12,t,23-04-17,33.99237212,-118.4743844,1 MINUTE WALK TO VENICE BEACH,Venice,143,89,90291,0,1
5178,5.393627546,Loft,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,Doorman,Gym,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""24-hour check-in""}",4,1.5,Real Bed,strict,TRUE,DC,30-03-13,t,f,50%,22-05-11,f,09-10-16,38.90287484,-77.01682891,"""The Premier"" Loft Downtown DC 905",Mount Vernon Square,14,92,20001,1,1
8739,3.761200116,Apartment,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Essentials,""24-hour check-in""}",2,1,Real Bed,strict,TRUE,NYC,13-03-16,t,t,100%,01-02-16,f,11-09-17,40.58340989,-73.93374107,A room Just for you.,Sheepshead Bay,13,80,11235,1,1
10766,4.584967479,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace""}",2,1,Real Bed,strict,TRUE,DC,16-01-15,t,t,100%,08-04-13,f,30-04-17,38.92886778,-77.02827205,Bright 1 Bdrm in Columbia Heights,Columbia Heights,21,95,20009,1,1
12299,5.342334252,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",8,2.5,Real Bed,moderate,TRUE,Chicago,17-04-16,t,t,100%,28-06-13,f,09-04-17,41.89605955,-87.66200594,Gorgeous/Spacious 2 Floor Apartment,West Town/Noble Square,30,98,60642,3,3
18590,4.605170186,House,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Breakfast,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron}",2,1,Real Bed,flexible,FALSE,NYC,13-08-17,t,f,100%,06-06-17,t,17-09-17,40.66457597,-73.73464063,Rosedale Palace,Jamaica,7,100,11422,1,1
19040,4.48863637,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",4,1,Real Bed,strict,FALSE,NYC,15-05-16,t,f,100%,12-05-16,f,24-09-17,40.77181461,-73.95145443,Quiet 5***** star UES apartment,Upper East Side,71,91,10075,0,1
23619,4.369447852,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Cat(s),""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Room-darkening shades""}",2,1,Real Bed,moderate,TRUE,LA,07-03-15,t,t,100%,15-04-14,f,10-03-17,34.23731849,-118.265837,Spacious foothills home with pool,Glendale,25,98,91214,1,1
24349,3.555348061,Apartment,Private room,"{""Pets allowed"",""Family/kid friendly"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,flexible,TRUE,Chicago,24-04-17,t,f,100%,28-11-16,t,30-04-17,41.85262141,-87.70215992,Private Quarters,,2,100,60623,1,2
26785,4.17438727,Apartment,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher""}",1,1,Airbed,flexible,FALSE,NYC,,t,f,,17-11-13,f,,40.75144244,-73.99388904,1 bedroom in luxury furnished condo,Chelsea,0,,10001,1,1
28749,4.65396035,Apartment,Entire home/apt,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Laptop friendly workspace""}",3,1,Real Bed,strict,FALSE,NYC,25-11-15,t,t,,16-06-13,f,25-11-15,40.64969814,-73.96558667,Spacious 1-Bedroom in Ditmas Park,Flatbush,1,100,11226,1,1
29012,4.744932128,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,Essentials,Shampoo,""Hair dryer"",Iron,""Laptop friendly workspace""}",2,1,Real Bed,moderate,TRUE,NYC,13-09-14,t,t,,21-04-14,f,17-03-17,40.73455425,-74.00613707,Best Location NYC! Studio in heart of The Village,West Village,16,94,10014,0,1
38638,5.298317367,Apartment,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer}",2,1,Real Bed,strict,TRUE,NYC,23-12-12,t,t,100%,03-05-12,f,20-05-17,40.7286287,-74.00136725,Cozy Village apartment  near NYU,Greenwich Village,11,94,10012,2,1
41959,4.86753445,Apartment,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Doorman,Bathtub,""Hot water"",""Bed linens"",Refrigerator,Oven,Stove,""Long term stays allowed""}",3,1,Real Bed,strict,TRUE,Boston,,t,f,94%,16-09-16,f,,42.34846059,-71.06116227,Designer Studio Apt close to Tufts Medical Center!,Chinatown,0,,2111,0,1
46843,3.555348061,Apartment,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Essentials,""24-hour check-in"",Hangers,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",5,2,Real Bed,strict,TRUE,NYC,25-09-12,t,t,90%,01-11-11,f,03-01-16,40.67635213,-73.89124447,Cozy Private Bedroom $900 Month,East New York,9,100,11207,1,4
52609,4.934473933,Condominium,Entire home/apt,"{TV,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Elevator in building"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",4,1,Real Bed,flexible,TRUE,LA,,t,t,100%,14-12-16,f,,34.22084992,-118.6027196,Large one bedroom condo in Canoga Park,Canoga Park,0,,91304,1,3
53945,4.59511985,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Buzzer/wireless intercom"",""Smoke detector"",""Fire extinguisher"",Essentials}",2,1,Real Bed,strict,FALSE,NYC,03-01-15,t,t,,27-11-12,f,24-08-15,40.76612241,-73.99324324,"CHARMING 1-BD w CITY VIEWS, 2 CATS",Hell's Kitchen,5,84,10019,1,1
54453,5.521460918,Apartment,Entire home/apt,"{""Wireless Internet"",""Pets live on this property"",Heating,""Smoke detector"",Essentials,Shampoo,Hangers,""Laptop friendly workspace""}",6,1,Real Bed,moderate,TRUE,SF,,t,t,100%,18-04-16,f,,37.76719885,-122.4495227,3 bedrooms & private bath in Cole Valley Victorian,Cole Valley,0,,94117,3,3
56027,5.480638923,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Doorman,Gym,Cat(s),Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",4,1,Real Bed,moderate,TRUE,NYC,05-05-14,t,t,,23-08-11,t,13-07-15,40.76906233,-73.95170242,Luxury Apartment a walk to the park,Upper East Side,6,100,10021,1,2
57156,4.605170186,Apartment,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",2,1,Real Bed,strict,TRUE,DC,19-08-15,t,t,89%,05-10-13,t,18-04-17,38.89079071,-76.9789772,Cozy room on Capitol Hill,,40,84,20003,1,1
58059,3.401197382,Apartment,Private room,"{""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Safety card"",Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace""}",2,1,Real Bed,flexible,FALSE,Chicago,15-04-17,t,f,100%,25-12-15,f,28-04-17,41.79369236,-87.58667995,Private Room in Hyde Park,Hyde Park,3,100,60637,0,1
61167,3.496507561,Apartment,Shared room,"{""Wireless Internet"",""Air conditioning"",Kitchen,Elevator,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Hair dryer""}",1,1,Real Bed,moderate,FALSE,NYC,16-07-17,t,t,100%,24-09-13,f,19-09-17,40.76198776,-73.92683579,Couch in Studio Apartment in Astoria,Astoria,8,98,11106,1,1
62119,3.912023005,House,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1,1,Real Bed,strict,FALSE,Chicago,14-09-16,t,f,100%,02-09-16,f,14-09-16,41.75244878,-87.57388397,Beautiful South Shore Bungalow,South Shore,1,100,60649,1,1
